direction,signal_time,entry_time,entry,sl,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,2019-02-12 00:00:00+00:00,2019-02-13 00:00:00+00:00,2750.300048828125,2738.133898925781,60.76093750000018,2019-03-07 00:00:00+00:00,2748.929931640625,Donchian exit,-0.027075737473320052,15
long,2019-03-15 00:00:00+00:00,2019-03-18 00:00:00+00:00,2822.610107421875,2894.5825927734377,45.78598632812509,2019-05-07 00:00:00+00:00,2894.5825927734377,SL/Trail,1.5657678274538585,35
short,2019-05-31 00:00:00+00:00,2019-06-03 00:00:00+00:00,2751.530029296875,2831.2289794921876,79.69895019531259,2019-06-06 00:00:00+00:00,2831.2289794921876,SL/Trail,-1.0034524043573396,3
long,2019-06-18 00:00:00+00:00,2019-06-19 00:00:00+00:00,2920.550048828125,2963.385107421875,60.16501464843759,2019-07-31 00:00:00+00:00,2963.385107421875,SL/Trail,0.7071053474757538,29
long,2019-09-05 00:00:00+00:00,2019-09-06 00:00:00+00:00,2980.330078125,2915.1430419921876,88.17897949218741,2019-10-01 00:00:00+00:00,2940.25,Donchian exit,-0.4579108463870346,17
long,2019-10-25 00:00:00+00:00,2019-10-28 00:00:00+00:00,3032.1201171875,3099.254846191406,62.94511718749982,2019-12-03 00:00:00+00:00,3087.409912109375,SL/Trail,0.8735639135655777,25
long,2019-12-12 00:00:00+00:00,2019-12-13 00:00:00+00:00,3166.64990234375,3269.0081787109375,41.70700683593759,2020-01-27 00:00:00+00:00,3247.159912109375,SL/Trail,1.9227787093628257,28
long,2020-02-06 00:00:00+00:00,2020-02-07 00:00:00+00:00,3335.5400390625,3284.456018066406,64.21992187500018,2020-02-24 00:00:00+00:00,3257.610107421875,SL/Trail,-1.2186792409505873,10
short,2020-02-27 00:00:00+00:00,2020-02-28 00:00:00+00:00,2916.89990234375,3018.4618408203123,101.56193847656232,2020-03-02 00:00:00+00:00,3018.4618408203123,SL/Trail,-1.0028720403983002,1
short,2020-03-09 00:00:00+00:00,2020-03-10 00:00:00+00:00,2813.47998046875,2745.584851074219,177.2399658203126,2020-04-06 00:00:00+00:00,2663.679931640625,Donchian exit,0.8435947284127864,19
long,2020-05-27 00:00:00+00:00,2020-05-28 00:00:00+00:00,3046.610107421875,3065.142932128906,121.10302734375,2020-06-11 00:00:00+00:00,3065.142932128906,SL/Trail,0.15051782020732132,10
long,2020-07-10 00:00:00+00:00,2020-07-13 00:00:00+00:00,3205.080078125,3487.018017578125,119.57297363281259,2020-09-03 00:00:00+00:00,3487.018017578125,SL/Trail,2.3551930079961876,38
long,2020-10-08 00:00:00+00:00,2020-10-09 00:00:00+00:00,3459.669921875,3358.971887207031,118.05402832031268,2020-10-26 00:00:00+00:00,3400.969970703125,Donchian exit,-0.5001601301046236,11
long,2020-11-09 00:00:00+00:00,2020-11-10 00:00:00+00:00,3543.260009765625,3732.2360961914064,131.6190185546875,2021-01-29 00:00:00+00:00,3732.2360961914064,SL/Trail,1.4330889448657667,54
long,2021-02-04 00:00:00+00:00,2021-02-05 00:00:00+00:00,3878.300048828125,3792.8575439453125,100.64399414062518,2021-02-26 00:00:00+00:00,3792.8575439453125,SL/Trail,-0.8528112941122803,14
long,2021-03-15 00:00:00+00:00,2021-03-16 00:00:00+00:00,3973.590087890625,4123.847094726562,127.03093261718732,2021-05-11 00:00:00+00:00,4123.847094726562,SL/Trail,1.1797098922256688,39
long,2021-06-10 00:00:00+00:00,2021-06-11 00:00:00+00:00,4242.89990234375,4168.706958007812,74.19294433593768,2021-06-18 00:00:00+00:00,4168.706958007812,SL/Trail,-1.0057187377321655,5
long,2021-06-24 00:00:00+00:00,2021-06-25 00:00:00+00:00,4274.4501953125,4284.653271484375,60.740966796875,2021-07-19 00:00:00+00:00,4284.653271484375,SL/Trail,0.1609396700094485,15
long,2021-07-23 00:00:00+00:00,2021-07-26 00:00:00+00:00,4409.580078125,4388.869946289063,75.953125,2021-08-19 00:00:00+00:00,4382.43994140625,SL/Trail,-0.36313311304258383,18
long,2021-08-25 00:00:00+00:00,2021-08-26 00:00:00+00:00,4493.75,4451.885180664062,61.31499023437482,2021-09-10 00:00:00+00:00,4458.580078125,Donchian exit,-0.5809231435713558,10
long,2021-10-18 00:00:00+00:00,2021-10-19 00:00:00+00:00,4497.33984375,4606.245141601563,112.58696289062482,2021-11-26 00:00:00+00:00,4606.245141601563,SL/Trail,0.9633048186276194,27
long,2021-12-27 00:00:00+00:00,2021-12-28 00:00:00+00:00,4795.490234375,4645.508251953125,149.98198242187482,2022-01-10 00:00:00+00:00,4645.508251953125,SL/Trail,-1.003197377549582,9
short,2022-01-21 00:00:00+00:00,2022-01-24 00:00:00+00:00,4356.31982421875,4481.6587890625,125.33896484374964,2022-01-31 00:00:00+00:00,4481.6587890625,SL/Trail,-1.0034756309258255,5
short,2022-02-23 00:00:00+00:00,2022-02-24 00:00:00+00:00,4155.77001953125,4338.387060546875,182.61704101562464,2022-02-25 00:00:00+00:00,4338.387060546875,SL/Trail,-1.00227567482006,1
long,2022-03-22 00:00:00+00:00,2022-03-23 00:00:00+00:00,4493.10009765625,4387.700390625,191.23784179687482,2022-04-11 00:00:00+00:00,4412.52978515625,Donchian exit,-0.4236589460982384,13
short,2022-04-22 00:00:00+00:00,2022-04-25 00:00:00+00:00,4255.33984375,4245.619165039063,135.90107421875018,2022-05-27 00:00:00+00:00,4158.240234375,Donchian exit,0.7113562269199999,24
short,2022-06-13 00:00:00+00:00,2022-06-14 00:00:00+00:00,3763.52001953125,3953.2279541015623,189.70793457031232,2022-07-19 00:00:00+00:00,3936.68994140625,Donchian exit,-0.9148076714346962,23
short,2022-08-26 00:00:00+00:00,2022-08-29 00:00:00+00:00,4034.580078125,4100.673010253906,117.66506347656286,2022-09-12 00:00:00+00:00,4100.673010253906,SL/Trail,-0.5651328284879009,9
short,2022-09-16 00:00:00+00:00,2022-09-19 00:00:00+00:00,3849.909912109375,3826.020947265625,150.6040283203124,2022-10-24 00:00:00+00:00,3797.340087890625,Donchian exit,0.34650356839426416,25
long,2022-11-30 00:00:00+00:00,2022-12-01 00:00:00+00:00,4087.139892578125,3946.480859375,140.6590332031251,2022-12-06 00:00:00+00:00,3946.480859375,SL/Trail,-1.0029057073687375,3
short,2022-12-15 00:00:00+00:00,2022-12-16 00:00:00+00:00,3890.909912109375,3993.5784912109375,124.71503906250018,2023-01-06 00:00:00+00:00,3895.080078125,Donchian exit,-0.03655739549222362,13
long,2023-01-23 00:00:00+00:00,2023-01-24 00:00:00+00:00,4001.739990234375,3996.1747802734376,125.22495117187509,2023-02-21 00:00:00+00:00,3996.1747802734376,SL/Trail,-0.04763734307049698,19
short,2023-03-09 00:00:00+00:00,2023-03-10 00:00:00+00:00,3912.77001953125,4024.0610595703124,111.29104003906241,2023-03-22 00:00:00+00:00,4024.0610595703124,SL/Trail,-1.003515799670987,8
long,2023-03-31 00:00:00+00:00,2023-04-03 00:00:00+00:00,4102.2001953125,4026.0761108398438,131.24799804687518,2023-04-25 00:00:00+00:00,4071.6298828125,Donchian exit,-0.23604575293001087,15
long,2023-05-18 00:00:00+00:00,2023-05-19 00:00:00+00:00,4204.14990234375,4114.376879882812,89.77302246093768,2023-05-24 00:00:00+00:00,4114.376879882812,SL/Trail,-1.0046830882898847,3
long,2023-06-02 00:00:00+00:00,2023-06-05 00:00:00+00:00,4282.990234375,4481.234326171875,88.9720458984375,2023-08-02 00:00:00+00:00,4513.39013671875,Donchian exit,2.5847624498016764,40
short,2023-10-25 00:00:00+00:00,2023-10-26 00:00:00+00:00,4175.990234375,4292.1892578125,116.48505859375018,2023-11-02 00:00:00+00:00,4292.1892578125,SL/Trail,-1.001129448435494,5
long,2023-11-10 00:00:00+00:00,2023-11-13 00:00:00+00:00,4406.66015625,4670.118115234375,109.19516601562464,2024-01-04 00:00:00+00:00,4688.68017578125,Donchian exit,2.5786796594579475,35
long,2024-01-19 00:00:00+00:00,2024-01-22 00:00:00+00:00,4853.419921875,5122.396313476563,85.59101562500018,2024-04-04 00:00:00+00:00,5147.2099609375,Donchian exit,3.4268164120796047,51
long,2024-05-09 00:00:00+00:00,2024-05-10 00:00:00+00:00,5225.490234375,5184.2052001953125,123.57797851562464,2024-05-30 00:00:00+00:00,5235.47998046875,Donchian exit,0.07660909479204267,13
long,2024-06-05 00:00:00+00:00,2024-06-06 00:00:00+00:00,5357.7998046875,5541.323095703125,86.46298828124964,2024-07-18 00:00:00+00:00,5541.323095703125,SL/Trail,2.116368109322432,28
long,2024-08-19 00:00:00+00:00,2024-08-20 00:00:00+00:00,5602.8798828125,5414.120922851563,195.28696289062464,2024-09-03 00:00:00+00:00,5528.93017578125,Donchian exit,-0.38154106099372564,9
long,2024-09-19 00:00:00+00:00,2024-09-20 00:00:00+00:00,5709.64013671875,5723.91748046875,148.77407226562536,2024-10-31 00:00:00+00:00,5723.91748046875,SL/Trail,0.09212882007999602,29
long,2024-11-06 00:00:00+00:00,2024-11-07 00:00:00+00:00,5947.2099609375,5957.01318359375,114.15805664062464,2024-12-18 00:00:00+00:00,5957.01318359375,SL/Trail,0.08066449211854648,28
long,2025-01-22 00:00:00+00:00,2025-01-23 00:00:00+00:00,6076.31982421875,5964.33447265625,160.70595703125036,2025-02-24 00:00:00+00:00,5983.25,Donchian exit,-0.5829121579043623,21
short,2025-03-10 00:00:00+00:00,2025-03-11 00:00:00+00:00,5603.64990234375,5786.761767578125,183.11186523437482,2025-03-24 00:00:00+00:00,5767.56982421875,Donchian exit,-0.8982502944563813,9
short,2025-04-03 00:00:00+00:00,2025-04-04 00:00:00+00:00,5292.14013671875,5409.833569335938,218.26796875000036,2025-04-09 00:00:00+00:00,5409.833569335938,SL/Trail,-0.5416399268656289,3
long,2025-05-12 00:00:00+00:00,2025-05-13 00:00:00+00:00,5854.14990234375,6263.987548828125,211.87998046874964,2025-08-01 00:00:00+00:00,6263.987548828125,SL/Trail,1.9315285502138395,55
long,2025-08-12 00:00:00+00:00,2025-08-13 00:00:00+00:00,6462.669921875,6349.716943359375,112.95297851562464,2025-08-20 00:00:00+00:00,6349.716943359375,SL/Trail,-1.0057215577728045,5
long,2025-08-27 00:00:00+00:00,2025-08-28 00:00:00+00:00,6483.83984375,6366.048828125,117.791015625,2025-09-02 00:00:00+00:00,6366.048828125,SL/Trail,-1.0055045283456865,2
long,2025-09-11 00:00:00+00:00,2025-09-12 00:00:00+00:00,6590.66015625,6612.228100585938,101.09101562500018,2025-10-10 00:00:00+00:00,6612.228100585938,SL/Trail,0.2068322114585803,20
long,2025-10-24 00:00:00+00:00,2025-10-27 00:00:00+00:00,6845.4599609375,6697.559765625,147.90019531249982,2025-11-07 00:00:00+00:00,6696.18017578125,SL/Trail,-1.0139562752806555,9
long,2025-12-05 00:00:00+00:00,2025-12-08 00:00:00+00:00,6875.2001953125,6696.727294921875,178.472900390625,2025-12-16 00:00:00+00:00,6800.259765625,Donchian exit,-0.4237503259122465,6
long,2025-12-23 00:00:00+00:00,2025-12-24 00:00:00+00:00,6904.91015625,6811.493359375,122.90073242187464,2026-01-20 00:00:00+00:00,6811.493359375,SL/Trail,-0.7657178768275186,16
short,2026-03-19 00:00:00+00:00,2026-03-20 00:00:00+00:00,6594.66015625,6659.64423828125,192.18989257812518,2026-04-08 00:00:00+00:00,6754.35986328125,SL/Trail,-0.8343788057516552,12
long,2026-04-09 00:00:00+00:00,2026-04-10 00:00:00+00:00,6839.240234375,7407.76435546875,209.25395507812482,2026-06-05 00:00:00+00:00,7407.76435546875,SL/Trail,2.7136414069607904,39
long,2026-08-03 00:00:00+00:00,2026-08-04 00:00:00+00:00,7630.6201171875,7550.032275390625,165.76401367187464,2026-08-20 00:00:00+00:00,7641.16015625,Donchian exit,0.05898130018819713,12
